first_name,last_name,department,job_title
Michael,Scott,Education,Regional Manager
Dwight,Schrute,Sales,Regional Manager
Jim,Halpert,Sales,Sales Accountant
Pam,Beesly,Reception,Accountant
Ryan,Howard,Temps,Accountant
Andy,Bernard,Sales,Sales Accountant
Robert,California,Corporate,Temp
Stanley,Hudson,Sales,Sales Accountant
Kevin,Malone,Accounting,Accountant
Angela,Martin,Accounting,Accountant
Oscar,Martinez,Accounting,Accountant
Phyllis,Vance,Sales,Sales Accountant
Toby,Flenderson,HR,HR Accountant
Kelly,Kapoor,Customer Service,Accountant
Darryl,Philbin,Warehouse,Accountant
Creed,Bratton,Quality Assurance,Accountant
Meredith,Palmer,Supplier Relations,Accountant
Erin,Hannon,Reception,Accountant
Gabe,Lewis,Corporate,Temp
Jan,Levinson,Corporate,Temp
David,Wallace,Corporate,Temp
Holly,Flax,HR,Accountant
Charles,Miner,Corporate,Temp
Jo,Bennett,Corporate,Temp
Clark,Green,Sales,Sales Accountant
Pete,Miller,Customer Service,Accountant
